,ENSG00000123096,ENSG00000131095,ENSG00000048649,ENSG00000078549,ENSG00000206172,ENSG00000244734,ENSG00000121966,ENSG00000155980,ENSG00000127914,ENSG00000170275,ENSG00000188536,ENSG00000038427,ENSG00000078114,ENSG00000104324,ENSG00000157833,ENSG00000146005,ENSG00000225465,ENSG00000117592,ENSG00000168280,ENSG00000120063,ENSG00000124749,ENSG00000152661,ENSG00000089169,ENSG00000111328,ENSG00000141279,ENSG00000152990,ENSG00000092820,ENSG00000152518,ENSG00000104361,ENSG00000147027,ENSG00000196739,ENSG00000087263,ENSG00000185650,ENSG00000119729,ENSG00000108932,ENSG00000107562,ENSG00000124942
BM_22_63,5.552368431,14.41065364,7.358218328,9.563220376,1.430803379,7.341697312,3.478352859,8.7627472,8.406949068,5.996073224,3.161159523,8.318708493,9.567643655,5.384579509,6.21765466,8.531063053,5.903191982,7.181066053,9.142321095,7.325618352,5.91894723,10.62325523,6.81243393,5.858441206,7.239628809,7.534918323,8.018608072,5.835752177,4.466330474,7.971124371,4.523310193,5.363756879,6.823553011,6.26670494,2.703845961,3.779216561,10.45019073
BM_22_156,3.785810091,12.38787242,7.599859847,7.685871032,2.449621343,8.322005976,3.220645611,10.83411328,8.351125653,5.450197682,3.867833052,7.91903246,8.980240939,4.724854645,5.103586881,7.194706712,6.638034367,6.844330831,10.28975949,6.472555089,4.249185523,8.784648039,7.207389676,5.507353761,7.389183482,5.851485172,6.538404136,4.684886184,5.959033562,6.514893585,3.685472966,5.244801489,6.014485797,6.06703068,2.155189787,2.211786212,9.893484021
BM_22_234,3.891384213,12.64309969,7.45353927,7.639773753,1.590669915,6.732366703,2.238882374,10.4718846,8.258069727,5.78629556,3.035861324,8.067053411,8.573260832,4.870316796,4.181903208,6.670861725,6.380354757,6.607884319,9.854792976,6.96971954,4.697930212,8.551660238,6.518355038,4.919228955,7.058364264,5.803813508,6.645156552,4.522433969,5.565602602,6.340306596,3.647159948,5.377390423,5.725074317,5.807137367,2.646191023,2.0993671,9.869661626
hB_RNA_7835,4.099272442,12.3728247,7.55226061,7.993636982,1.007637545,6.788298609,2.305157276,10.74903777,8.498670139,5.831752984,2.453063086,7.937233209,8.972495812,4.82351152,5.213156882,7.215244374,6.520350917,6.812085459,10.42422037,6.687613679,4.204725206,8.872545926,7.322445584,5.083912887,7.18797423,6.067781074,6.975012382,4.715142728,5.700307224,6.754846815,3.754301313,5.337625188,5.482905537,5.807168016,2.723277376,4.476622506,9.697965444
BM_22_53,3.944757238,12.63842066,7.402832414,8.010879907,1.740343867,6.963826389,1.883912926,10.94888561,8.345365103,5.709241085,2.632976849,8.17842206,8.994159917,4.74509031,4.623192708,7.107281803,6.381176671,6.951969751,10.38461413,6.921842182,4.445264507,9.03182332,7.403193164,5.040012758,6.979391476,6.338569898,7.000085652,4.695015244,5.502394202,7.038772711,3.399845965,5.087891198,5.78845028,5.813414933,3.094197915,3.219913486,9.748215496
BM_22_86,3.985864118,11.99673807,7.717975349,7.828517671,1.654130397,7.199125413,2.67744369,10.61494151,8.570978741,6.041174726,3.137066139,7.440682372,9.150552578,4.466527711,5.087767958,6.495684495,6.657946565,7.014941649,10.23871355,6.786924598,4.397320891,8.678272058,6.645087019,5.005525539,7.357696646,6.377618663,7.059039668,4.11357419,6.072341766,7.246532748,3.299854485,5.414348294,5.082684102,6.268972077,3.367555971,3.356713231,9.238595846
BM_22_112,4.011830067,12.17391024,7.629365492,7.790053678,0.514724036,6.158504639,1.270542511,10.88199108,8.56761845,5.779441698,2.172454324,7.433621555,8.886177945,4.494054436,4.592766569,6.421053952,6.849865364,6.759209282,10.31303061,6.777031438,4.28650944,8.35244873,7.264383846,4.657919195,7.56178367,6.188847325,6.74043578,4.374620705,5.886464169,6.812922696,3.143059098,5.203371779,5.517533513,5.857812631,2.45818374,3.136036445,9.447990708
hB_RNA_8135,4.290593985,13.34701407,7.474800549,8.251483876,1.560980103,7.837381805,2.155289606,10.83852368,8.150473117,5.885123839,3.27445082,8.199476397,8.9049302,4.993771742,4.803289517,6.898244557,5.702169557,7.256901491,10.0571686,6.868227782,4.623852315,9.202579519,6.307875541,5.095734013,6.945815503,6.260356416,7.183154252,4.690943937,5.012133278,7.051280325,3.813049893,5.145643316,5.704256821,5.839745284,2.837531269,3.463844843,9.692438726
hB_RNA_7945,3.770392505,12.06263827,7.488125263,7.572148098,1.623468689,7.43269509,1.699441774,11.1993266,8.467737504,5.734837681,3.093983314,7.922083757,8.439885659,4.698863592,4.408558402,6.918826848,6.421774593,6.332227416,10.24052728,6.333006964,3.999567106,8.133399897,7.318570353,4.842061282,7.140152745,5.719651639,6.723065213,4.42890385,5.674131535,6.482227892,3.251788925,5.384531027,5.123396681,5.695569645,3.007765888,2.587708396,9.297175159
hB_RNA_8105,3.345901968,13.7472856,7.310665218,7.28578995,1.386522503,6.46972476,3.903847463,11.17222637,8.274929144,5.812167293,2.41935101,7.902355506,8.375889267,5.279839249,3.553692188,5.869737483,5.799563072,6.238057419,10.20983448,6.980906187,3.877516582,8.578944951,6.57330569,5.241648064,6.859347222,5.392278635,6.299591658,5.608559387,5.479498872,6.2641784,4.694565873,5.073594867,7.144710669,5.926396145,2.69775708,3.181965504,9.722918853
