,ENSG00000123096,ENSG00000131095,ENSG00000048649,ENSG00000078549,ENSG00000206172,ENSG00000244734,ENSG00000121966,ENSG00000155980,ENSG00000127914,ENSG00000170275,ENSG00000188536,ENSG00000038427,ENSG00000078114,ENSG00000104324,ENSG00000157833,ENSG00000146005,ENSG00000225465,ENSG00000117592,ENSG00000168280,ENSG00000120063,ENSG00000124749,ENSG00000152661,ENSG00000089169,ENSG00000111328,ENSG00000141279,ENSG00000152990,ENSG00000092820,ENSG00000152518,ENSG00000104361,ENSG00000147027,ENSG00000196739,ENSG00000087263,ENSG00000185650,ENSG00000119729,ENSG00000108932,ENSG00000107562,ENSG00000124942
BM_22_146,3.813606853,12.25218916,7.447864275,7.806756959,0.426677951,5.227266594,1.930689025,10.36693634,8.353471744,5.210139539,0.92641774,7.831414072,8.908671417,4.211061398,3.869157208,6.14782216,6.43335489,6.896060454,9.924438141,6.76927295,4.523238727,9.004167916,7.399521748,4.521396705,7.155423647,5.842625146,6.48083294,4.452209229,6.225222042,6.929535621,3.111505887,5.165267805,5.682360389,5.655356286,3.132121752,2.497775344,9.429065318
BM_22_37,3.398883534,12.07559224,7.643544523,7.875244973,0.131949545,5.751662339,1.966838117,10.93499335,8.526571605,5.583036883,0.773400204,7.607095617,8.848397834,4.545910198,5.218581888,6.91512573,6.365910514,6.663606127,10.26848663,6.568875263,4.344908307,8.609204527,6.612413203,5.399145414,7.277535221,6.17045863,7.409107332,4.390902043,5.992560155,6.809220163,4.346782595,5.211409731,5.964675954,6.164144558,1.589660809,2.567629958,10.0232138
BM_22_36,3.727389033,12.91921887,7.26535999,7.703485447,1.347249895,7.19051872,2.240096471,10.78785718,8.296429625,5.530877844,2.69658788,7.835419421,8.879842303,5.113587615,4.911414198,6.761285788,5.823132158,6.974528894,10.11935913,7.136491137,4.676739922,9.412188979,6.582366483,5.267628245,7.13766844,5.862498248,6.62086905,5.392483454,5.847733346,6.854747309,3.852999604,5.217456807,6.483105541,6.160226382,2.580814918,2.309336049,9.772686089
BM_22_91,4.119611083,12.2922653,7.577774078,7.961825268,1.954562648,7.631728273,1.597575134,10.33369839,8.313194436,5.653340707,4.001743651,8.483865014,8.760835486,4.702157412,4.130959993,6.267072202,6.522594115,6.665235792,9.903442632,6.776643567,4.395942926,8.381976044,5.915089345,4.37835454,6.763081534,6.062515441,6.974279038,4.7969697,5.339063837,6.974270973,2.974753831,5.348669941,5.711591749,5.60283444,2.656130679,2.786873885,9.821829925
hB_RNA_9163,3.615221312,12.83825791,6.994641996,7.818528748,4.032445542,10.1966168,3.327403326,10.56606026,7.854515117,5.040741346,5.625274476,7.989276927,8.810392133,4.746505755,3.899141995,5.440255871,5.135987128,7.206778373,9.900158019,7.58033723,3.901474748,8.81556604,6.023231845,4.883842347,6.609636993,5.898864146,6.643240389,5.701485738,4.577557928,6.712118197,5.231142637,5.727343129,7.231814782,5.895585614,4.227861056,3.820381426,10.05440524
BM_22_177,4.245557233,12.59154773,7.652130953,7.94632772,1.806270543,8.171943609,2.53277293,10.49696788,8.547161388,5.848083819,3.601305158,7.806892615,9.169854995,5.026233258,4.559535788,6.547743691,6.662783812,6.902498449,10.20483684,7.181139253,4.556409555,9.061872466,6.71112138,4.872416492,7.34497814,6.115551685,7.069538032,4.402050456,5.921867489,7.330439348,2.794129383,5.328672814,5.219703428,5.795120958,3.096248213,2.939607832,9.265776951
hB_RNA_9164,3.825894199,11.68237966,7.3844863,7.641410183,-0.016897634,5.896351719,2.329644222,10.574099,8.233330322,5.387881062,2.413572551,7.479684645,8.62862268,4.585147976,4.273611041,6.73926602,6.565226519,6.668779166,10.28402627,6.661961553,4.056211637,8.435193503,7.324624334,4.737533214,7.08574399,5.840021031,6.554622254,4.136866267,5.986986003,6.969411981,3.414023247,5.326159733,5.239113299,5.52620775,3.03910034,3.483133742,8.980348214
BM_22_95,3.965624006,12.82456893,7.372719153,7.708656628,1.01238953,6.93616298,0.995459493,10.49931027,8.473545821,5.725491315,2.46057105,7.743173492,8.856532838,4.61280732,3.732244911,6.389901002,6.412830362,6.934074994,9.949136323,6.916177176,4.375542123,8.572323669,6.673731614,4.904776405,7.018640396,6.120683469,6.636871119,4.392574486,6.037247064,6.684465647,3.088703897,5.473314718,5.82301408,5.843520418,2.606105916,1.846475516,9.61290955
BM_22_167,3.956148078,12.94148774,7.505383425,7.84210777,-1.180420211,3.494516785,3.070493113,11.39954872,8.458763314,5.84661446,0.37221085,8.59501845,9.11412444,5.559485073,5.8868494,7.109457424,5.749417293,6.938253619,10.15526867,7.219117171,4.309158358,9.578158673,6.194258078,5.571066744,7.082334933,6.39124866,7.485709443,5.1546353,5.332714972,6.934954616,4.65070318,5.184398044,6.702145193,6.412482654,2.202113865,2.475345501,10.96553575
hB_RNA_9166,4.073849329,12.85151304,7.230619109,7.893620647,0.783889425,6.633472807,1.956723562,10.77608732,8.12915868,5.754434232,2.165473891,8.193506447,8.633029914,4.472280423,4.673852511,7.047579611,5.738040852,6.692341978,9.972698878,6.675405186,4.371185139,8.524139115,6.696753886,4.756967021,6.876975187,6.151959453,6.510930645,4.663763751,5.901112811,6.624560829,3.780599401,5.282122646,5.711703236,5.662593589,3.270514795,2.959325969,9.957076114
BM_22_49,4.032065772,12.52251491,7.659095191,8.002300916,2.495055457,8.821326177,3.278579588,10.74642132,8.58794671,5.879127785,4.068675525,7.864364774,9.138317116,4.995893347,4.449000791,6.255012803,6.574697901,7.289260445,10.19878028,7.372359504,4.569778663,9.490485996,5.647564963,5.176488708,7.443517784,6.265789343,7.189980656,4.714258073,5.287750187,7.634216967,3.478356336,5.268885732,5.47804765,6.018586744,2.994412135,2.987672048,9.562622311
BM_22_170,3.892139112,12.66946653,7.647631547,7.907110321,1.929726426,6.817730361,3.224025169,10.92383705,8.679494002,6.092165051,3.286048191,7.819642613,8.904991731,4.706433433,5.224469707,6.805491947,6.650132224,7.034589817,10.19528107,6.824028375,4.64125446,8.799215277,6.706060651,4.932925295,7.354973777,6.477729147,7.122167852,4.367401265,5.499629008,6.805280973,3.087713985,5.324847693,5.612826085,5.864941117,2.169873288,3.135249731,9.63446401
BM_22_238,3.93725841,12.41756833,7.454181317,7.742971693,-0.835321141,3.597446392,2.50106025,10.94910812,8.398513893,5.357331107,-0.034382562,8.324114229,8.791783125,5.093811505,5.201904682,6.693085564,6.103238869,6.547022348,9.737831212,6.45731111,4.580542136,9.071601342,6.694525753,5.167349763,6.99623236,6.063554396,6.864395338,4.764761823,5.420380077,6.553788771,4.183650087,5.252763783,5.998426047,5.913751445,1.504740811,1.783636215,10.5055049
BM_22_42,3.85770496,12.87540258,7.336499284,8.102577251,2.877020465,8.796097406,2.83058245,10.63137555,8.319328013,6.043760284,4.058499858,8.322157642,8.621584523,5.158389856,5.276387023,7.089312194,5.77971744,6.555610497,9.951422279,6.690027105,3.602654361,8.748288062,6.021515537,5.348076303,6.890387568,5.858580421,7.042901285,5.164684252,5.37485597,6.699879677,4.299464404,5.210227552,6.018724531,6.003609774,2.741904995,3.038136763,10.22421962
BM_22_119,3.924880097,13.51346229,7.47789076,8.004224447,1.08718751,7.044256397,3.057902447,10.47714834,8.238638333,6.5242142,2.700852948,8.447954134,8.650138514,5.538118389,5.982344098,7.261422314,5.077525937,6.367843822,9.873713806,6.721255542,4.478229177,8.839928814,5.232427327,5.921124657,6.738001048,6.398437161,7.00101897,5.437195377,4.682962739,6.391401774,4.899984565,5.566915395,6.424907603,6.191831408,2.468808063,3.078114021,11.10745568
hB_RNA_10342,3.899305452,12.29452092,7.53193538,7.847267337,3.083524143,9.389907075,2.695336307,10.78480333,8.496825451,5.596244463,5.348906394,8.011168908,8.859873009,4.350344509,4.415095986,6.352328376,6.142350509,6.85547408,10.07497994,6.843062562,4.586152997,8.941732256,7.137968593,4.652925248,7.176418508,5.912398953,6.641682171,4.415393478,5.839149804,6.735012464,3.57252713,5.067442056,5.500309722,5.682639902,2.670883945,3.242214373,10.03967601
BM_22_174,4.047556225,12.36880891,7.564606377,7.983270637,3.853447926,10.04354781,2.158231675,10.72393339,8.501522914,5.811320615,5.350598826,8.169309247,8.798868655,4.848569116,4.449540162,6.156183331,6.37909023,7.066531187,10.00542749,6.614608649,4.77744806,8.931723095,7.018192688,4.86573201,7.252576715,5.928468677,6.765178229,4.15852228,5.871338329,6.275324371,3.716002597,5.307989378,5.446638257,5.823197786,2.172055242,2.340407177,9.958994489
BM_22_211,3.071814517,13.41835208,7.434742301,7.801892609,-0.202660531,4.479557907,2.300661643,10.95592653,8.181466048,5.278176862,1.480405395,7.746067278,8.916275515,4.261939575,3.559815016,6.005685293,5.889803315,6.589293811,10.42192687,6.674814024,3.429516372,8.045291217,7.049166144,4.907713391,7.354517033,5.409467446,6.800468857,5.443654894,6.621081103,5.850191272,4.410713702,5.802571632,6.741965334,6.271484554,2.780618258,2.573987912,9.661083198
hB_RNA_9168,3.466110914,12.64236786,7.439568108,7.483273056,2.256684078,8.415172489,1.028537148,10.78283121,8.358217871,5.725104639,3.839589245,8.189072449,8.775410462,4.579383355,4.058109079,6.629028856,5.918226118,6.738593178,10.30106829,6.748922922,3.102120693,8.442297674,6.992662845,4.806393356,6.974592503,5.803766417,7.000241352,4.806912821,6.234354026,6.696360303,3.581614979,5.526944455,5.686910601,5.751501792,3.204373536,2.417092546,9.247120626
BM_22_40,3.432788679,11.77638131,7.619602066,7.688788777,-1.206932132,5.363511213,1.773685423,10.75763726,8.460269529,5.398109077,0.647354269,7.796505344,8.562832529,4.4387215,4.179347803,6.447720715,6.385378941,6.327214508,10.2479983,6.383454467,4.448927981,8.172888676,7.229493149,4.788380408,7.299294512,5.477970322,6.136135969,4.161003115,5.837627111,6.705000465,3.411786228,5.211928013,4.960331038,5.564729987,2.838520322,2.801828576,9.287868749
BM_22_47,3.682153337,10.84065523,7.929258243,7.293350666,0.561888439,6.66881507,2.017403878,10.42427554,8.673717267,5.120356502,2.722123704,7.65557653,9.054556824,4.782595688,5.012854085,6.080655789,6.608898386,6.606732181,10.26555723,7.109121944,3.882138362,8.989129285,7.164196585,4.679709144,7.673860826,5.825528132,6.654354624,3.730942525,6.305354247,7.497824666,2.630362483,5.458778498,4.939687939,6.227566178,2.461952125,2.302769311,8.86317297
hB_RNA_9169,3.181335291,10.66871123,7.322453025,7.307899481,0.495924792,6.553820175,1.420009331,10.25014402,8.160899384,4.835493655,2.435686986,6.720077547,8.323899241,3.910609408,3.939921575,6.27723198,7.125670756,6.366551894,9.938863672,6.034349407,3.509319764,7.646091809,7.898842148,4.139441169,7.316675101,5.403066973,6.256295698,3.566455081,6.309464005,6.415901914,2.859965833,5.489128719,4.536694698,5.289007847,3.564029002,3.166562815,8.204884113
hB_RNA_9170,3.612258811,11.63446563,7.510832818,7.759016599,-2.713629338,2.445805726,2.482345213,10.57647204,8.584350017,5.580285843,-2.667793774,7.909285917,8.651776948,5.30589137,5.001311833,6.750650852,6.414998893,6.534150067,9.986330081,6.5967002,4.493079698,8.29999241,6.279690748,5.285151856,7.261470201,5.59029662,7.002991974,4.535211281,5.76279103,6.601055417,4.344336772,5.652375243,5.640148984,6.271445961,2.175080949,2.492439251,9.591568036
BM_22_158,3.700045533,12.7575579,7.414285913,8.013970535,1.713118345,7.091348471,1.342584948,11.07679444,8.425068732,5.525595042,3.120020385,8.155218126,8.950723295,4.722070215,4.28484448,6.583821647,5.599314601,7.062542325,10.13215593,6.94175631,3.975697267,8.868283694,6.621068855,5.159249097,6.896632686,6.156152793,7.044804042,5.096115669,5.503932052,6.519265387,3.760806842,5.422488811,6.611057743,5.626014839,2.495717463,1.868429911,10.4371914
hB_RNA_9171,3.847648049,12.86577983,7.461673505,8.055194763,2.797962331,9.118333469,2.263789079,10.88690899,8.516151701,5.874092541,4.532313584,7.875391582,8.820654711,4.728833458,4.770587962,7.0226112,6.222960228,6.682087065,10.37270386,6.737478113,4.523853272,8.790230287,6.737059871,4.978491276,7.114073117,5.956441172,6.963244049,4.5484182,5.443323771,7.027630146,3.615919324,5.167313713,5.707567762,5.701849061,2.37933366,3.749808282,9.782510961
BM_22_229,3.955056593,13.26364188,7.546124823,8.131127437,1.796398714,7.930037895,2.439016713,10.7072935,8.493294857,5.917695304,4.054603382,8.142276469,8.983278115,5.041851114,5.162417191,6.853887864,6.342768655,7.178535707,10.12221986,7.122025393,4.851882078,9.410592105,6.07293986,5.207419046,7.341251576,6.792989505,7.35886589,4.700606155,5.441893137,7.374610641,3.677258581,5.226663774,5.795989724,6.10659379,2.370404638,3.62654246,9.630968737
hB_RNA_9172,2.451582788,11.26504901,7.16724191,6.936426452,-1.072766844,4.613773092,0.161793961,9.838104006,8.698596334,4.785273964,0.284161985,6.680042,7.571097468,3.76881268,3.849681976,6.2683713,6.567959499,5.733097974,9.575562593,5.373898451,3.915048991,6.693121892,7.698400814,3.507006678,6.830115145,4.593883977,5.248620665,3.489175149,6.305702148,5.222283074,4.4693868,5.38648289,4.698679192,4.432754521,2.599936775,1.312289334,8.13025178
BM_22_72,3.964889476,11.8655519,7.806908685,7.746514641,1.509915659,7.875119372,2.240047013,10.5485762,8.693347569,5.4165186,3.881307392,7.498874817,9.078507685,4.649379101,3.466315657,6.091841493,6.932867066,6.829064245,10.23767512,6.868780224,4.360112125,8.985915393,6.83733519,4.635821612,7.578324149,5.692108285,6.851626398,4.365976101,6.265144664,7.266234721,2.726334482,5.394412126,5.197818503,5.910978348,3.029322423,2.985314057,9.290933022
hB_RNA_8155,3.579692166,12.46284257,7.366181891,7.857828216,1.987698515,7.7238823,2.015734532,11.21593234,8.373175708,5.684180756,3.734808709,7.752110781,8.906701876,4.445869436,5.251756519,7.375888594,6.171059266,6.813029973,10.29460279,6.785536865,4.795847042,8.828486693,7.012206875,4.689841705,7.001866342,6.282689332,6.937105069,4.46194179,5.586493771,6.745150781,4.095445286,4.954730594,5.560478957,5.751753309,2.171929225,2.40361834,9.877296004
hB_RNA_10302,4.346605957,12.98279926,7.435485314,7.894276623,2.29259608,9.43788617,3.121162158,10.81637714,8.541487422,6.041023128,4.315334637,8.327043172,9.241844588,5.28017928,5.370374196,6.649675747,5.347194952,7.460596425,10.12854884,7.300207644,4.9086399,9.901820393,5.938203486,5.498862663,6.974177602,6.412511683,6.997458983,5.640585399,5.174774867,7.261868962,3.858993499,5.199720522,6.807006748,6.133693801,2.017549763,2.303021539,10.70411563
hB_RNA_10282,3.905421233,12.64302184,7.125426766,7.995680313,-0.384184496,6.330903795,1.525537124,10.13826195,8.308150812,5.533523786,2.017098504,8.084402761,8.70445382,4.336567243,4.142929051,5.711366272,6.011903115,6.81685991,9.898512285,6.585967247,4.442374336,8.82630281,7.218671054,4.776626596,6.764423804,5.396922008,6.549088154,4.503945741,5.827145589,6.521578361,3.62349389,5.3249198,5.630394741,5.47358449,3.452171198,3.166089552,9.796923879
BM_22_83,4.140516073,13.03758243,7.525012016,8.073707813,1.336021191,7.064839822,2.740310334,10.47395227,8.432109322,5.538545151,1.853528074,8.119459737,8.899283573,4.688466333,4.160778794,6.65622449,6.076263898,7.047758241,9.998729554,6.959293471,4.727309338,9.576425707,5.750608651,4.538392393,7.078389183,5.979720103,6.965473591,4.502151922,5.285321826,7.03687346,3.323990775,5.350482667,5.808656395,5.850018333,1.805617149,2.927721809,10.30695545
BM_22_32,3.538233671,11.92949716,7.505345103,7.758365454,1.209985748,6.515421094,2.326964159,11.13548644,8.397686364,5.567286484,2.285624982,8.300903773,8.902859184,4.774823037,5.491763222,6.961985805,5.965202662,6.558630124,10.24164742,6.780793991,4.775678284,9.330064177,6.364741732,5.158238224,7.254694427,6.098299531,7.127662916,4.878595513,5.580896353,6.666275727,4.245712518,5.353588355,6.078823177,5.819878065,1.664905339,2.767525606,10.17043427
BM_22_84,3.925966459,13.04151548,7.450438834,7.797975795,2.836180784,7.568045697,1.658348936,11.41589479,8.641418012,6.080637951,3.698661339,8.441811626,8.845525553,4.962944316,4.017032622,6.498561579,5.729212147,6.954747372,10.27621139,6.834681674,4.666394602,8.819183073,6.721478713,4.957240686,6.873630927,6.428215624,7.213845844,4.545360328,5.551255113,5.871677197,3.465440556,5.433589235,5.953808846,5.602594043,3.298316416,2.462220031,10.25319032
BM_22_74,3.722032964,13.89089711,7.701531775,8.074775051,1.538714184,8.362459415,2.042954062,10.16723695,8.419685067,5.647345926,4.062098144,7.352698616,8.939315463,4.932766982,3.952080405,5.987747802,6.613166312,7.015561744,10.01403873,6.944639224,5.095464332,8.597005006,6.318761399,4.697791639,7.327576655,6.046627122,7.420515777,4.826565778,5.459971044,7.051970301,2.97345624,5.465106147,6.00421645,6.088726456,2.607341568,3.440209232,9.241278409
BM_22_133,3.556184554,12.4091087,7.460934321,7.468338921,3.018166677,8.5211676,1.524629552,10.33075814,8.169330141,5.364989363,4.929750415,7.89560368,8.585721316,4.115048997,3.984596245,6.399161147,6.157681093,6.300557207,10.00756291,6.512337344,3.510680404,7.803294587,6.830741324,4.63231642,6.872466462,5.68847111,6.243733189,4.53096018,6.64069843,6.154690559,3.647822012,5.545119196,5.527200666,5.714029002,2.943581069,2.983328691,8.914673883
BM_22_172,4.376311243,13.73548469,7.400677099,8.712036582,1.435496872,6.610698246,3.83261894,10.84837726,8.306064706,6.236024396,3.080578761,8.693506511,8.989114346,5.253483378,5.4726728,7.393926535,5.265898859,7.291574706,10.20240871,6.826383335,5.344786368,9.412274404,5.302394661,5.095289002,6.777896162,6.466914822,7.275511315,5.50571455,5.07331613,6.82552742,4.193162125,5.3651699,6.743340712,5.962335601,2.420596563,4.374036481,10.96414294
hB_RNA_9217,4.633331539,12.76001313,7.40830813,8.568244699,0.26940151,5.410851443,2.934340999,10.81426271,8.10704272,6.077875981,1.397928989,8.725822302,8.998642941,4.823976799,4.389840977,6.428778704,5.679922313,7.078362611,9.907827339,7.181496384,4.178787529,9.572890447,6.399123528,4.872083371,6.784052287,6.54562594,7.400124372,5.130953447,5.183750591,7.398256222,2.834017607,5.091259986,6.129215705,5.762062616,3.521866975,3.759213436,10.64049589
hB_RNA_9218,4.106550617,13.40551798,7.484005317,7.98622349,1.808582782,7.363269637,1.976489736,10.75819511,8.396373957,5.870684562,3.025819018,8.273279633,8.97125066,5.047686173,4.108774706,6.977168778,5.076850421,7.613837134,10.056204,7.145404136,4.567338078,9.394982231,6.243302003,4.897903272,6.917162909,6.32871599,7.204248408,4.67650767,5.269234024,6.988750408,3.555581405,5.383606642,6.217875108,5.578495016,3.363411406,3.315007503,10.3132762
hB_RNA_9219,3.9936909,12.3834036,7.493912794,7.747962814,1.563254096,7.188214268,2.256583931,10.78336082,8.385781636,5.574544472,3.803981155,8.092259726,8.809021217,4.607170666,5.195770423,7.220105213,6.322556868,6.83605298,10.03562661,6.696102657,4.097816035,8.94734757,7.327689666,4.869341503,7.087390588,6.512217458,7.248995229,4.931758927,5.96615382,7.057266826,3.700250047,5.199394244,5.532721668,5.593218335,2.617617051,3.744658552,9.337965723
hB_RNA_8115,3.441817042,11.8559374,7.567955705,7.483466842,1.738712685,8.13287509,1.910298864,11.02880783,8.333394358,5.481897239,3.386543685,7.226423839,8.860488714,4.965036157,4.92054885,6.976908899,6.417674974,6.932125763,10.37675506,6.90261223,3.956836703,8.941011354,7.085310414,5.260719332,7.623852265,6.166767367,6.985791658,4.442833838,6.241744537,7.105239372,3.27015568,5.037124193,5.477763565,6.131413395,2.647343984,3.100206379,9.119786098
hB_RNA_9220,4.030521709,12.44527678,7.481209469,7.800374252,-0.72053775,5.347916563,3.396091738,10.86135762,8.3077736,5.771054436,1.096548911,7.864431323,8.963964041,4.798946753,5.316011968,7.425705986,6.227221949,6.906940159,10.2588378,6.778062395,4.486997413,9.205680759,6.636220396,5.445355598,7.317253896,6.276599156,7.263286303,5.170084015,5.402852634,7.187955283,4.1475454,5.117873313,5.896552017,6.338862698,1.487138831,3.735758946,9.707292222
hB_RNA_9221,4.496739739,13.11176364,7.540503918,7.925237743,2.945205953,8.534553348,3.231061081,10.76145706,8.326205285,6.230190119,4.277700433,8.429990468,9.225845933,5.234496336,4.326810756,6.637489832,5.807014299,7.324630477,10.06871268,7.341894377,4.335571341,9.423809043,6.907150723,5.1625312,7.123474745,6.079481153,7.174965909,5.063770902,5.533372896,7.523902857,3.025333889,5.341179923,6.299166318,6.246703478,3.227979173,2.997269868,10.43906277
BM_22_105,5.017569779,14.22207346,7.089031021,8.738189774,-1.628279804,3.426694074,4.508479481,10.45450819,8.014767047,6.909929897,-0.640864569,8.121812418,8.80063325,5.189757543,4.459137892,6.296607981,4.277971269,7.307659073,9.587433955,7.190972351,5.196660851,9.025917516,4.58334289,4.998755893,6.373511149,6.187883861,7.148173271,5.453942217,3.989152357,6.700369426,4.246353675,5.055460826,6.984205209,5.799303138,3.48942032,4.382203831,11.31647912
hB_RNA_10242,3.528909577,12.09504875,7.381907377,7.383675864,1.906437006,6.451133756,2.279015753,10.79203207,8.182433544,5.465842593,3.791168976,7.596660636,8.572466597,4.343255904,4.034587252,6.264821042,6.146352923,6.239003574,9.966673198,6.499436716,4.194992882,8.691565079,7.261309962,4.262961362,6.875132698,5.60154204,6.547754402,4.520887982,6.433406455,6.31732446,3.606531724,5.378863226,5.94163951,5.388148219,2.822668217,2.069354793,9.6143337
hB_RNA_9223,4.499555674,13.16175301,7.465084619,8.319042682,1.651156042,7.653150044,1.991536232,10.73499323,8.239809183,6.185250838,3.230165443,8.268321349,8.710905018,4.882091668,4.799685956,7.060217243,5.791010509,6.733343338,9.993131971,7.086658833,4.873831006,8.789535038,5.419934017,5.06409196,6.913763854,6.254934376,7.058437368,5.364350561,4.72724472,7.190311625,3.406909956,5.229695078,6.343064431,5.806968894,2.711983236,3.813645955,9.918049294
BM_22_31,3.895457722,12.00050786,7.496242244,7.70950076,0.988858505,6.224309859,2.15229911,10.64741924,8.245228424,5.256617596,2.768656734,8.129361284,8.820180998,4.304700002,4.310706577,6.192289064,6.186479095,6.171250066,10.06261277,6.84151446,4.313558881,8.694411342,6.999351124,4.595563827,7.030735504,6.124722821,6.750733243,4.758702244,5.621996033,6.773788532,3.980233776,5.045820689,5.524292456,5.488109431,3.154754402,2.614126327,9.349851416
BM_22_157,3.715105657,13.50950688,7.343773141,7.712214869,1.4009119,6.992570907,2.138310597,10.64316259,8.408785894,5.717826902,3.535522973,8.126432442,8.690462215,4.682835559,4.478244538,6.44011167,6.084080034,6.769167898,10.13765051,6.576192151,4.665487324,9.221284112,6.952559718,4.85428109,7.201636731,6.144636679,7.035853143,4.800269705,5.645325602,6.532976225,3.41499112,5.090769121,5.981683718,5.516612265,2.048714206,2.822169995,9.797083022
BM_22_106,4.680180896,14.39255807,7.290863008,8.523204484,2.436800389,8.283396677,2.627052086,10.29876476,8.408778341,6.133875862,4.275217382,8.815736365,9.023657057,5.112406546,4.766449443,6.664209067,5.576534221,7.472807549,9.609584497,6.966591207,5.402807979,9.298696583,5.815233963,5.184681245,6.853243533,6.271128572,7.383247337,5.08163168,4.938529127,6.878928276,4.297270495,5.157806549,6.521809178,6.064939984,2.455486203,2.579483884,10.70314903
BM_22_41,3.901912497,12.44428959,7.352230077,7.599534059,1.758678808,7.112513845,2.337107553,10.28755261,8.152882552,5.413402472,2.801512006,7.534746127,8.737525378,4.781209472,4.569561059,7.062184401,6.095434581,6.737615737,9.841850188,6.55881909,4.029604165,8.476740146,7.217895105,5.303600958,7.054190126,5.895897104,6.485489245,4.865076461,5.346155961,6.534969503,3.430692377,5.377354454,5.885721319,5.73991216,3.466513625,3.404881077,9.574141569
hB_RNA_9206,3.285802628,12.40236342,7.397350595,7.561490763,-0.078047894,6.053463132,1.973196791,10.28888426,8.545912691,5.237400291,1.414489449,7.733412212,8.575108144,4.436379441,3.772912417,6.213234039,6.648552531,6.438348386,10.0530129,6.439337366,4.340243495,8.402620735,7.392464402,4.658368145,7.359731756,5.383958565,6.024881912,3.818976372,6.570117611,6.432439127,3.964483268,5.315226615,5.092218063,5.238489438,2.717623028,2.688261064,9.260385566
hB_RNA_9207,4.007995993,12.8160148,7.570341681,8.377847247,3.336596255,9.631647444,2.396113363,11.02009307,8.595161943,5.663878536,4.069806989,7.937327669,8.935470496,4.695585952,4.426881787,6.678454591,6.171872054,7.049501817,10.21790824,6.913705339,4.535833531,9.085899796,7.129049535,4.768437258,6.906595111,6.32516719,7.309211188,4.485740018,5.480172258,6.855693676,3.542632258,5.1597176,6.185010246,5.673931355,2.86577883,2.750504149,10.17603371
BM_22_160,4.01035964,12.58471247,7.647223785,7.887194143,2.119168252,7.79605264,1.194831713,10.78082899,8.445220647,5.466199684,2.451755296,7.874342721,9.126531605,4.510997339,4.170096862,6.753735047,6.622641137,6.622762811,10.27087284,6.994559366,4.464554464,9.011589672,7.090691487,4.666380904,7.316914139,5.96176651,7.047731015,5.096999384,5.837737414,7.104764926,2.665925602,5.344277369,6.101888505,6.168774615,2.76036294,2.269603961,9.96774659
hB_RNA_9209,4.105593018,13.02557309,7.478079602,8.12269134,2.372375278,8.552789025,1.545495013,11.03024385,8.384622152,5.802815287,4.159189228,7.966486732,9.22889269,4.537328615,4.318982928,6.971213201,5.461551862,7.447608965,10.29476958,7.138203471,4.972171313,9.340535178,6.229398436,4.942097407,7.043113905,6.30482596,6.985698324,5.003954265,5.518420049,7.144172263,3.68610839,5.277959819,5.968792375,5.666166707,3.146986883,3.394621953,10.2334456
BM_22_92,4.567909829,13.54900941,7.285305294,8.200791024,1.06570338,7.265454078,4.43583831,9.135223719,8.869408105,6.492257222,3.160975505,9.095931067,8.786282229,5.557401648,5.729628559,7.257967905,4.856831113,7.025328344,9.115425638,7.26929786,4.783902503,9.424787902,5.255461845,5.809026595,7.124038669,6.796094394,7.527540476,6.034428455,3.891637896,7.503287278,4.11582143,5.311372411,6.647003994,6.247849367,4.593480904,4.321081796,10.8368065
BM_22_85,2.776237148,12.69815093,7.154081735,7.930684028,-0.535704319,5.775019366,2.642569009,11.50282591,8.058654299,6.897062195,1.225701994,8.61069225,7.956162167,5.002847097,4.854051108,6.54215369,6.596314177,7.030676145,10.17843554,5.856594009,4.198457939,8.579516553,6.742374098,4.217793397,7.256034741,6.491189901,7.009046698,3.960959623,5.390765931,4.627194157,3.294653503,5.294506092,4.93000121,4.360201363,1.494694206,3.058478285,10.13811183
hB_RNA_9210,4.048517315,12.62622853,7.496138143,7.957643171,1.462122787,7.345720044,2.856869682,10.71455617,8.268585029,5.870989969,3.196656733,7.874364711,8.676268249,4.873744003,4.682392293,6.651551749,6.186617188,6.73794109,9.842199288,6.621479848,4.79023353,8.982354084,6.59959979,4.662747639,7.044450612,5.973455545,6.924388846,4.801423238,5.610245638,6.83747176,4.264634901,4.947951477,5.992279273,5.970796745,2.344946048,2.858153295,10.38094234
BM_22_6,3.909573898,13.8079036,7.271149865,7.592196662,0.790613598,6.651996166,2.292666972,10.7484383,8.220293163,5.639978934,3.540415639,7.755785162,8.424080434,4.964704475,3.791809008,6.222158326,5.816652565,6.455306327,9.82258757,6.620780745,4.474622573,8.304307416,6.364773442,4.649174079,6.776877186,5.830965711,7.001427751,5.080055806,5.492182837,6.364968637,3.898558699,5.17842614,6.20600545,5.760736666,1.807958595,3.675714352,9.944335727
BM_22_132,4.264460221,13.90464026,7.275659352,8.356621088,-0.168321932,5.759559573,0.827060011,10.41550049,8.216981417,5.98477469,1.983478789,8.494944246,8.985118299,5.025703327,4.856702099,7.50061925,5.140187497,7.142906133,9.771323957,6.893883359,5.226394501,9.253393682,5.775576943,5.115023575,6.912247268,6.196973523,7.091881111,5.355379116,4.819964394,6.811901829,4.000996307,5.726809519,6.468868531,5.900003538,2.697949742,1.80661747,10.51502058
